NO_CHAMBRE;NOM_CHAMBRE;NO_ETAGE;NOM_BATIMENT;TYPE_CHAMBRE;PRIX_JOUR;DT_CREATION
0;A001;0;A;Type 1;15;1999-03-01
1;A002;0;A;Type 1;15;1999-03-01
2;A003;0;A;Type 2;20;1999-03-01
3;A004;0;A;Type 2;10;1999-03-01
4;A005;0;A;Type 2;15;1999-03-01
5;A006;0;A;Type 1;20;1999-03-01
6;A007;0;A;Type 2;15;1999-03-01
7;A008;0;A;Type 2;10;1999-03-01
8;A009;0;A;Type 1;20;1999-03-01
9;A010;0;A;Type 3;20;1999-03-01
10;A101;1;A;Type 2;15;1999-03-01
11;A102;1;A;Type 3;15;1999-03-01
12;A103;1;A;Type 1;15;1999-03-01
13;A104;1;A;Type 2;15;1999-03-01
14;A105;1;A;Type 3;15;1999-03-01
15;A106;1;A;Type 1;15;1999-03-01
16;A107;1;A;Type 2;10;1999-03-01
17;A108;1;A;Type 2;10;1999-03-01
18;A109;1;A;Type 3;20;1999-03-01
19;A110;1;A;Type 3;15;1999-03-01
20;A111;1;A;Type 3;15;1999-03-01
21;A112;1;A;Type 1;30;1999-03-01
22;A113;1;A;Type 2;10;1999-03-01
23;A114;1;A;Type 1;10;1999-03-01
24;A115;1;A;Type 2;10;1999-03-01
25;A116;1;A;Type 2;10;1999-03-01
26;A117;1;A;Type 2;10;1999-03-01
27;A118;1;A;Type 2;15;1999-03-01
28;A119;1;A;Type 1;10;1999-03-01
29;A120;1;A;Type 4;20;1999-03-01
30;A121;1;A;Type 1;10;1999-03-01
31;A122;1;A;Type 2;10;1999-03-01
32;A123;1;A;Type 2;15;1999-03-01
33;A124;1;A;Type 1;10;1999-03-01
34;A125;1;A;Type 1;15;1999-03-01
35;A126;1;A;Type 1;25;1999-03-01
36;A127;1;A;Type 3;15;1999-03-01
37;A128;1;A;Type 1;15;1999-03-01
38;A129;1;A;Type 3;10;1999-03-01
39;A130;1;A;Type 2;10;1999-03-01
40;A131;1;A;Type 5;15;1999-03-01
41;A132;1;A;Type 1;10;1999-03-01
42;A133;1;A;Type 2;15;1999-03-01
43;A134;1;A;Type 2;20;1999-03-01
44;A135;1;A;Type 1;15;1999-03-01
45;A136;1;A;Type 1;20;1999-03-01
46;A137;1;A;Type 1;15;1999-03-01
47;A138;1;A;Type 1;10;1999-03-01
