CD_MEDICAMENT;NOM_MEDICAMENT;CONDIT_MEDICAMENT;CATG_MEDICAMENT;MARQUE_FABRI
0;Medicament0;Cond9;CategoryMed44;MarqueMed9
1;Medicament1;Cond2;CategoryMed13;MarqueMed23
2;Medicament2;Cond2;CategoryMed31;MarqueMed18
3;Medicament3;Cond8;CategoryMed36;MarqueMed18
4;Medicament4;Cond13;CategoryMed18;MarqueMed14
5;Medicament5;Cond11;CategoryMed21;MarqueMed11
6;Medicament6;Cond11;CategoryMed39;MarqueMed13
7;Medicament7;Cond10;CategoryMed14;MarqueMed23
8;Medicament8;Cond7;CategoryMed48;MarqueMed4
9;Medicament9;Cond11;CategoryMed2;MarqueMed4
10;Medicament10;Cond6;CategoryMed20;MarqueMed16
11;Medicament11;Cond2;CategoryMed31;MarqueMed3
12;Medicament12;Cond4;CategoryMed49;MarqueMed1
13;Medicament13;Cond8;CategoryMed28;MarqueMed12
14;Medicament14;Cond10;CategoryMed6;MarqueMed22
15;Medicament15;Cond10;CategoryMed25;MarqueMed1
16;Medicament16;Cond9;CategoryMed31;MarqueMed12
17;Medicament17;Cond13;CategoryMed38;MarqueMed15
18;Medicament18;Cond10;CategoryMed17;MarqueMed9
19;Medicament19;Cond3;CategoryMed38;MarqueMed16
20;Medicament20;Cond13;CategoryMed18;MarqueMed18
21;Medicament21;Cond2;CategoryMed15;MarqueMed14
22;Medicament22;Cond9;CategoryMed27;MarqueMed10
23;Medicament23;Cond13;CategoryMed19;MarqueMed12
24;Medicament24;Cond2;CategoryMed4;MarqueMed13
25;Medicament25;Cond8;CategoryMed4;MarqueMed7
26;Medicament26;Cond5;CategoryMed10;MarqueMed4
27;Medicament27;Cond6;CategoryMed37;MarqueMed10
28;Medicament28;Cond8;CategoryMed48;MarqueMed3
29;Medicament29;Cond1;CategoryMed20;MarqueMed14
30;Medicament30;Cond3;CategoryMed21;MarqueMed1
31;Medicament31;Cond9;CategoryMed10;MarqueMed1
32;Medicament32;Cond4;CategoryMed36;MarqueMed6
33;Medicament33;Cond5;CategoryMed48;MarqueMed21
34;Medicament34;Cond7;CategoryMed44;MarqueMed20
35;Medicament35;Cond4;CategoryMed30;MarqueMed3
36;Medicament36;Cond9;CategoryMed41;MarqueMed5
37;Medicament37;Cond1;CategoryMed13;MarqueMed22
38;Medicament38;Cond13;CategoryMed28;MarqueMed12
39;Medicament39;Cond11;CategoryMed49;MarqueMed9
40;Medicament40;Cond2;CategoryMed5;MarqueMed3
41;Medicament41;Cond7;CategoryMed19;MarqueMed17
42;Medicament42;Cond13;CategoryMed2;MarqueMed18
43;Medicament43;Cond11;CategoryMed45;MarqueMed14
44;Medicament44;Cond2;CategoryMed21;MarqueMed2
45;Medicament45;Cond2;CategoryMed13;MarqueMed4
46;Medicament46;Cond6;CategoryMed50;MarqueMed18
47;Medicament47;Cond12;CategoryMed41;MarqueMed22
48;Medicament48;Cond13;CategoryMed28;MarqueMed2
49;Medicament49;Cond6;CategoryMed46;MarqueMed1
50;Medicament50;Cond7;CategoryMed39;MarqueMed11
51;Medicament51;Cond7;CategoryMed11;MarqueMed19
52;Medicament52;Cond12;CategoryMed44;MarqueMed13
53;Medicament53;Cond4;CategoryMed28;MarqueMed12
54;Medicament54;Cond7;CategoryMed46;MarqueMed17
55;Medicament55;Cond12;CategoryMed17;MarqueMed16
56;Medicament56;Cond11;CategoryMed36;MarqueMed10
57;Medicament57;Cond1;CategoryMed40;MarqueMed11
58;Medicament58;Cond9;CategoryMed31;MarqueMed2
59;Medicament59;Cond7;CategoryMed49;MarqueMed15
60;Medicament60;Cond10;CategoryMed26;MarqueMed17
61;Medicament61;Cond11;CategoryMed5;MarqueMed13
62;Medicament62;Cond8;CategoryMed13;MarqueMed11
63;Medicament63;Cond8;CategoryMed27;MarqueMed12
64;Medicament64;Cond13;CategoryMed19;MarqueMed20
65;Medicament65;Cond3;CategoryMed11;MarqueMed18
66;Medicament66;Cond6;CategoryMed15;MarqueMed5
67;Medicament67;Cond8;CategoryMed5;MarqueMed15
68;Medicament68;Cond7;CategoryMed19;MarqueMed19
69;Medicament69;Cond10;CategoryMed2;MarqueMed4
70;Medicament70;Cond9;CategoryMed43;MarqueMed11
71;Medicament71;Cond13;CategoryMed6;MarqueMed6
72;Medicament72;Cond1;CategoryMed38;MarqueMed17
73;Medicament73;Cond5;CategoryMed2;MarqueMed1
74;Medicament74;Cond6;CategoryMed15;MarqueMed20
75;Medicament75;Cond6;CategoryMed41;MarqueMed7
76;Medicament76;Cond3;CategoryMed22;MarqueMed15
77;Medicament77;Cond10;CategoryMed36;MarqueMed9
78;Medicament78;Cond9;CategoryMed20;MarqueMed2
79;Medicament79;Cond6;CategoryMed23;MarqueMed19
80;Medicament80;Cond7;CategoryMed23;MarqueMed16
81;Medicament81;Cond7;CategoryMed4;MarqueMed1
82;Medicament82;Cond13;CategoryMed28;MarqueMed1
83;Medicament83;Cond7;CategoryMed39;MarqueMed21
84;Medicament84;Cond11;CategoryMed26;MarqueMed13
