"MEDC_ID","MEDC_CD","MEDC_NAME","MEDC_COND","MEDC_CATG","MEDC_BRND","EXEC_ID"
8585,"1523","Medicament1523","Cond13","CategoryMed15","MarqueMed7",12
3018,"1913","Medicament1913","Cond12","CategoryMed28","MarqueMed2",12
6036,"1029","Medicament1029","Cond10","CategoryMed44","MarqueMed18",12
469,"1419","Medicament1419","Cond5","CategoryMed22","MarqueMed21",12
3487,"536","Medicament536","Cond8","CategoryMed10","MarqueMed3",12
938,"1841","Medicament1841","Cond1","CategoryMed8","MarqueMed15",12
3956,"959","Medicament959","Cond5","CategoryMed8","MarqueMed15",12
18108,"1094","Medicament1094","Cond7","CategoryMed24","MarqueMed11",12
1407,"464","Medicament464","Cond11","CategoryMed3","MarqueMed20",12
15559,"600","Medicament600","Cond1","CategoryMed26","MarqueMed23",12
18577,"1516","Medicament1516","Cond9","CategoryMed12","MarqueMed20",12
13010,"1906","Medicament1906","Cond5","CategoryMed40","MarqueMed21",12
16028,"1021","Medicament1021","Cond1","CategoryMed41","MarqueMed13",12
19046,"1939","Medicament1939","Cond13","CategoryMed10","MarqueMed15",12
13479,"529","Medicament529","Cond9","CategoryMed41","MarqueMed1",12
16497,"1444","Medicament1444","Cond2","CategoryMed12","MarqueMed13",12
10930,"1834","Medicament1834","Cond6","CategoryMed1","MarqueMed19",12
13948,"951","Medicament951","Cond13","CategoryMed7","MarqueMed9",12
8381,"134","Medicament134","Cond7","CategoryMed40","MarqueMed6",12
16966,"1867","Medicament1867","Cond5","CategoryMed43","MarqueMed23",12
11399,"457","Medicament457","Cond3","CategoryMed11","MarqueMed22",12
5832,"847","Medicament847","Cond2","CategoryMed45","MarqueMed11",12
14417,"1372","Medicament1372","Cond9","CategoryMed29","MarqueMed18",12
8850,"1762","Medicament1762","Cond7","CategoryMed46","MarqueMed4",12
11868,"88","Medicament88","Cond11","CategoryMed29","MarqueMed21",12
6301,"1268","Medicament1268","Cond4","CategoryMed50","MarqueMed22",12
9319,"385","Medicament385","Cond5","CategoryMed18","MarqueMed17",12
3752,"775","Medicament775","Cond10","CategoryMed15","MarqueMed10",12
6770,"1690","Medicament1690","Cond1","CategoryMed46","MarqueMed16",12
1203,"280","Medicament280","Cond9","CategoryMed16","MarqueMed10",12
9788,"807","Medicament807","Cond7","CategoryMed18","MarqueMed9",12
4221,"1196","Medicament1196","Cond7","CategoryMed2","MarqueMed2",12
7239,"312","Medicament312","Cond3","CategoryMed3","MarqueMed4",12
1672,"702","Medicament702","Cond2","CategoryMed6","MarqueMed6",12
4690,"1618","Medicament1618","Cond7","CategoryMed27","MarqueMed21",12
18842,"1755","Medicament1755","Cond5","CategoryMed42","MarqueMed18",12
2141,"1123","Medicament1123","Cond12","CategoryMed43","MarqueMed2",12
19311,"378","Medicament378","Cond10","CategoryMed29","MarqueMed18",12
2610,"1546","Medicament1546","Cond3","CategoryMed7","MarqueMed23",12
16762,"1683","Medicament1683","Cond6","CategoryMed27","MarqueMed15",12
61,"1051","Medicament1051","Cond4","CategoryMed28","MarqueMed23",12
19780,"80","Medicament80","Cond7","CategoryMed23","MarqueMed16",12
14213,"1189","Medicament1189","Cond7","CategoryMed12","MarqueMed23",12
17231,"305","Medicament305","Cond5","CategoryMed2","MarqueMed18",12
11664,"696","Medicament696","Cond8","CategoryMed6","MarqueMed15",12
14682,"1610","Medicament1610","Cond3","CategoryMed10","MarqueMed18",12
17700,"728","Medicament728","Cond13","CategoryMed42","MarqueMed22",12
12133,"1116","Medicament1116","Cond4","CategoryMed24","MarqueMed9",12
